Track,Min,Max,Range,Range_hrs,Movie,Fate
574,1295.987,1564.316,268.329,4.47215,JSQH173,Atria
1586,1564.316,1692.648,128.332,2.138866667,JSQH173,Atria
1950,1634.315,1715.981,81.666,1.3611,JSQH173,Atria
1963,1564.316,1704.314,139.998,2.3333,JSQH173,Atria
2750,1529.317,1797.646,268.329,4.47215,JSQH173,Atria
3216,1564.316,1879.312,314.996,5.249933333,JSQH173,Atria
2816,1109.3229,1319.32,209.9971,3.499951667,JSQH173,LV
152,1700,1800,100,1.666666667,JSQH176,Atria
199,1000,1440,440,7.333333333,JSQH176,LV
238,1150,1170,20,0.333333333,JSQH176,LV
355,1010,1020,10,0.166666667,JSQH176,LV
430,1010,1550,540,9,JSQH176,LV
798,960,1040,80,1.333333333,JSQH176,LV
1183,1090,1220,130,2.166666667,JSQH176,LV
1198,1240,1420,180,3,JSQH176,LV
1629,1230,1250,20,0.333333333,JSQH176,LV
2014,1070,1270,200,3.333333333,JSQH176,LV
2112,1250,1510,260,4.333333333,JSQH176,LV
2303,1060,1580,520,8.666666667,JSQH176,LV
2460,1220,1240,20,0.333333333,JSQH176,LV
2516,1120,1160,40,0.666666667,JSQH176,LV
2689,1420,1450,30,0.5,JSQH176,LV
2693,1360,1470,110,1.833333333,JSQH176,LV
2757,1160,1440,280,4.666666667,JSQH176,LV
3146,1460,1470,10,0.166666667,JSQH176,LV
3595,1320,1420,100,1.666666667,JSQH176,LV
3663,1120,1310,190,3.166666667,JSQH176,LV
3664,1420,1440,20,0.333333333,JSQH176,LV
3943,1440,1440,0,0,JSQH176,LV
3944,1220,1340,120,2,JSQH176,LV
3945,1060,1090,30,0.5,JSQH176,LV
3949,1310,1750,440,7.333333333,JSQH176,LV
3951,1150,1220,70,1.166666667,JSQH176,LV
3952,1370,1700,330,5.5,JSQH176,LV
48,1625,1725,100,1.666666667,JSQH194,Atria
54,1895,1995,100,1.666666667,JSQH194,Atria
74,1755,1815,60,1,JSQH194,Atria
84,1965,2015,50,0.833333333,JSQH194,Atria
109,1275,1305,30,0.5,JSQH194,LV
39,1495,1615,120,2,JSQH194,LV
1,1135,1145,10,0.166666667,JSQH194,LV
25,1025,1025,0,0,JSQH194,LV
92,1355,1465,110,1.833333333,JSQH194,LV
99,1435,1615,180,3,JSQH194,LV
129,1135,1145,10,0.166666667,JSQH194,LV
7,1160,1250,90,1.5,JSQH305,LV
8,1540,1630,90,1.5,JSQH305,Atria
43,1120,1150,30,0.5,JSQH305,LV
118,2180,2370,190,3.166666667,JSQH305,Atria
174,1060,1070,10,0.166666667,JSQH305,LV
213,1360,1360,0,0,JSQH305,Atria
227,1800,1880,80,1.333333333,JSQH305,Atria
237,1270,1370,100,1.666666667,JSQH305,LV
254,1110,1110,0,0,JSQH305,LV
374,1450,1540,90,1.5,JSQH305,Atria
393,990,990,0,0,JSQH305,LV
486,1800,1850,50,0.833333333,JSQH305,Atria
664,1080,1090,10,0.166666667,JSQH305,LV
506,1260,1410,150,2.5,JSQH305,LV
508,1160,1160,0,0,JSQH305,LV
557,1370,1450,80,1.333333333,JSQH305,LV
624,1280,1330,50,0.833333333,JSQH305,LV
659,1710,1870,160,2.666666667,JSQH305,Atria
671,1260,1280,20,0.333333333,JSQH305,LV
1527,1590,1730,140,2.333333333,JSQH317,LV
15,1190,1240,50,0.833333333,JSQH317,LV
236,1180,1210,30,0.5,JSQH317,LV
319,1190,1340,150,2.5,JSQH317,LV
385,1250,1300,50,0.833333333,JSQH317,LV
395,1270,1350,80,1.333333333,JSQH317,LV
831,1140,1350,210,3.5,JSQH317,LV
1249,1400,1550,150,2.5,JSQH317,LV
1520,1150,1330,180,3,JSQH317,LV
